"abdel",
"abrams",
"abroad",
"abstaining",
"academic",
"acceded",
"accepted",
"access",
"according",
"accordingly",
"account",
"accountants",
"accounts",
"accurate",
"accuses",
"acknowledged",
"acquainted",
"across",
"action",
"actions",
"active",
"activists",
"activities",
"activity",
"actors",
"added",
"addition",
"additional",
"adequate",
"adequately",
"adhere",
"administered",
"administration",
"administrative",
"administrators",
"admissible",
"adoption",
"advance",
"adversary",
"advertisement",
"advertisements",
"advised",
"adviser",
"advisor",
"advisors",
"advocacy",
"african",
"agalarov",
"akhmetov",
"akthbhlie",
"aleksandra",
"alex",
"alexander",
"alexandria",
"alfa",
"alia",
"alice",
"alleges",
"alleging",
"allow",
"allowed",
"allows",
"alluded",
"ambassador",
"ambassadors",
"ambo",
"amended",
"amendment",
"america",
"americans",
"americas",
"anderson",
"andrea",
"andrej",
"andrew",
"andrey",
"anna",
"announce",
"announced",
"announcement",
"anonymous",
"anonymously",
"antitrust",
"appoint",
"appointed",
"appointing",
"appointment",
"appropriate",
"approval",
"approximately",
"apr",
"april",
"archives",
"arkady",
"army",
"assange",
"assassination",
"atlantic",
"attaché",
"attomey",
"attorney",
"attorneys",
"aug",
"august",
"auspices",
"author",
"authorities",
"authority",
"authorization",
"authorized",
"authorizing",
"automated",
"aven",
"avenue",
"backdoor",
"backed",
"background",
"backing",
"bank",
"banker",
"banks",
"bannon",
"baranov",
"barbara",
"barry",
"bastone",
"beingpatriotic",
"belarus",
"benefit",
"berkowitz",
"bids",
"bill",
"bio",
"biography",
"birthday",
"black",
"blacktivist",
"blast",
"blog",
"bloomberg",
"board",
"bogacheva",
"booked",
"borders
"borrowing",
"boss",
"bossert",
"bot",
"botnet",
"botnets",
"bought",
"boyarkin",
"boys",
"branch",
"branded",
"breach",
"breached",
"breakfast",
"brief",
"briefed",
"briefing",
"briefly",
"brooklyn",
"brooks",
"browder",
"brushes",
"budget",
"buds",
"build",
"building",
"bull",
"burchik",
"burt",
"bystrov",
"call",
"called",
"calling",
"campaign",
"campaigns",
"canadian",
"candidacy",
"candidate",
"candidates",
"capacity",
"carter",
"catastrophic",
"catering",
"chinese",
"chris",
"cia",
"circles",
"circumventing",
"citizens",
"city",
"civil",
"claim",
"claimed",
"claiming",
"clarified",
"classified",
"clear",
"cleared",
"cleveland",
"client",
"clients",
"clinton",
"clintonforprison2016",
"clovis",
"cni",
"cohen",
"colin",
"collaborated",
"colleagues",
"collud",
"colluding",
"collusion",
"columbia",
"comey",
"comment",
"commented",
"comments",
"commission",
"commit",
"committed",
"committee",
"committees",
"committing",
"commonly",
"communicate",
"communicated",
"communicating",
"communications",
"companies",
"company",
"compelled",
"compiled",
"complaint",
"complete",
"compliance",
"compromised",
"compromises",
"computer",
"computers",
"concerning",
"concerns",
"concluded",
"conclusion",
"concord",
"conducted",
"conducting",
"conduit",
"confederate",
"conference",
"confidence",
"confidential",
"confinement",
"confirm",
"confirmation",
"confirmed",
"confirming",
"conflict",
"conflicts",
"cong",
"congratulate",
"congratulated",
"congratulating",
"congress",
"congressional",
"conservative",
"conspiracy",
"conspirators",
"conspired",
"conspiring",
"constitute",
"constituted",
"constitutes",
"constitutional",
"construction",
"consultant",
"consultants",
"consultation",
"consultations",
"consulting",
"contact",
"contacted",
"contacting",
"contacts",
"contain",
"conversation",
"conversations",
"conviction",
"conway",
"cooperate",
"cooperation",
"coordinat",
"coordinate",
"coordinated",
"coordinating",
"coordination",
"coordinator",
"corey",
"corporation",
"correspondence",
"corroborate",
"corroborated",
"corroborates",
"council",
"counsel",
"counterintelligence",
"countries",
"court",
"courts",
"coverage",
"covered",
"craigslist",
"crim",
"crime",
"crimea",
"crimes",
"criminal",
"crisis",
"critical",
"criticize",
"criticized",
"criticizing",
"critiques",
"crocus",
"crowdstrike",
"cruz",
"cuba",
"cyber",
"cybersecurity",
"davis",
"day",
"days",
"dc",
"dccc",
"dcleaks",
"dcleaksproject",
"de",
"deactivated",
"deactivation",
"debt",
"dec",
"december",
"declassified",
"declination",
"declined",
"dedicated",
"defeat",
"defendant",
"defendants",
"defense",
"democrat",
"democratic",
"denis",
"departure",
"depicting
"deposition
"deputy
"deripaska
"derogatory
"devine
"dialogue
"diplomatic
"diplomats
"directly
"director
"directorate
"directors
"dirt
"disappointment
"discharge
"disclosure
"disclosures
"discord
"discuss
"dmitri
"dmitriev
"dmitry
"dmp
"dms
"dnc
"doc
"document
"documentary
"documenting
"documents
"don
"donald
"donovan
"drain
"driver
"dvorkovich
"egypt
"egyptian
"elect
"elected
"election
"elections
"electoral
"electorally
"electricity
"electronically
"email
"emailed
"emails
"embassy
"embedded
"embezzle
"embodies
"emin
"emotion
"encourage
"encouraged
"encouragement
"encryption
"endorsements
"endorsing
"enemies
"energy
"enforcement
"engage
"engaged
"england
"english
"entourage
"estate
"estimate
"estimated
"european
"evaluated
"evaluating
"even
"evening
"event
"events
"ever
"every
"evidence
"evidentiary
"expert
"explain
"explained
"explaining
"explanation
"explanations
"explicitly
"exploited
"exploratory
"explore
"explosive
"fabrication
"facebook
"faced
"fact
"facts
"factual
"failed
"failure
"fall
"falling
"false
"falsely
"family
"fancy
"fara
"fashion
"father
"fattah
"favored
"fbi
"fbihq
"feb
"february
"fictitious
"finance
"financial
"flag
"flagrant
"flaherty
"flashmob
"florida
"flynn
"forfeiture
"fraud
"freedom
"friend
"friends
"friendship
"fund
"funded
"funding
"funds
"fung
"gajanan
"gary
"gates
"george
"georgiy
"georgy
"germany
"gerson
"gifts
"giorgi
"give
"given
"gladstone
"glassner
"glast
"global
"gmail
"god
"google
"googled
"gop
"gordon
"gorkov
"gov
"government
"governments
"gpgu
"greenberg
"guccifer
"guilty
"gun
"hack
"hacked
"hacker
"hackers
"hacking
"hacks
"hannity
"hansen
"hashtag
"hashtags
"henry
"her
"here
"herself
"hese
"hesitate
"hicks
"hillary
"hired
"homage
"homeland
"hotel
"hour
"hours
"house
"houston
"hudson
"hue
"human
"identified
"identify
"identifying
"identity
"idpersonal
"idris
"igor
"iiepeboqyuk
"illuminati
"image
"immigrants
"immigration
"immunity
"important
"impossible
"impression
"imprisonment
"improved
"inauguration
"incriminate
"incrimination
"indications
"infomercial
"information
"instagram
"intel
"intelligence
"intended
"interaction
"interest
"interesting
"interests
"interfere
"interfered
"interference
"interlocking
"intermediaries
"intermediary
"internal
"internally
"international
"internet
"intervened
"interview
"interviewed
"intimidation
"investment
"investor
"invitations
"invite
"invites
"invoked
"involve
"involved
"involvement
"involving
"ira
"iranian
"isikoff
"israel
"israeli
"ivanchenko
"ivanka
"jack
"james
"jan
"january
"jared
"jeff
"jefferson
"jenn
"jobs
"john
"join
"joined
"joining
"joins
"joint
"jointly
"joseph
"josephine
"joshmilton024
"journal
"journalism
"joy
"jr
"judgment
"judiciary
"julian
"july
"june
"jurisdiction
"jury
"just
"justice
"k
"kalashnikova
"karen
"kasbo
"katsyv
"kav
"kaveladze
"keir
"kellyanne
"kept
"keynote
"kidnapping
"kids4trump
"kilimnik
"kind
"kirill
"kislyak
"klokov
"knew
"know
"knowingly
"knowledge
"known
"knows
"konstantin
"kramer
"kremlin
"krickovic
"krylova
"kushner
"kvfsg
"l
"l1
"lack
"lafraniere
"lago
"lakhta
"lakisha
"lana
"landen
"large
"largely
"larger
"last
"lasted
"late
"later
"launch
"laundering
"lavrov
"law
"laws
"lawsuit
"lawyer
"lawyers
"lcilp
"lead
"leaders
"leading
"leads
"leaked
"leaks
"learned
"learns
"least
"led
"ledeen
"lee
"left
"legal
"lenders
"lending
"lesley
"less
"let
"lets
"letter
"letterone
"level
"levels
"leverage
"lewandowski
"lgbt
"lgbtq
"liability
"liaison
"liar
"license
"lied
"lies
"light
"like
"liked
"likelihood
"likewise
"limited
"limits
"lines
"link
"linked
"linkedin
"links
"list
"listed
"lists
"litigation
"little
"lived
"lives
"ll
"llc
"loans
"lobbied
"lobbying
"locate
"located
"location
"logged
"loi
"london
"lone
"long
"longtime
"lose
"lost
"lot
"lower
"ltd
"lukito
"lurie
"lutes
"luxembourg
"lying
"lynn
"lyovochkin
"m
"macfarquhar
"made
"madrid
"magnitsky
"mahita
"mail
"mails
"main
"maintain
"maintained
"major
"make
"makeamericagreatagain
"making
"malaysia
"malware
"manafort
"managed
"management
"manager
"manner
"manual
"many
"mar
"march
"marcony
"maria
"married
"mask
"material
"materially
"materials
"materiał
"matt
"matter
"matters
"matthew
"may
"mayflower
"mcfarland
"mcfaul
"me
"mean
"meaning
"means
"measures
"media
"meet
"meeting
"meetings
"meetry
"mem
"member
"members
"memoranda
"memorandum
"memorialized
"men
"mental
"mention
"mentioned
"meponpwatua
"mesime
"message
"messages
"messaging
"met
"mflynn
"miami
"michael
"michelle
"mid
"middle
"midst
"midwestern
"mifsud
"might
"mikhail
"military
"miller
"million
"millions
"mimicked
"miners
"minister
"ministry
"minutes
"missing
"mission
"missions
"missourinewsus
"mitriev
"mnuchin
"mobile
"moderators
"moment
"money
"moniker
"monitored
"month
"months
"moore
"moore13
"more
"moreover
"morning
"moscow
"mosk
"most
"mostly
"motions
"move
"moved
"mr
"ms
"much
"mueller
"mufson
"multiple
"murder
"muslims
"mutual
"my
"mysterious
"n
"nader
"name
"named
"namely
"names
"natalia
"national
"nationals
"nations
"nature
"nbc
"near
"nearly
"necessarily
"necessary
"need
"needs
"negative
"negatively
"negotiate
"negotiations
"neil
"nemesis
"nes
"network
"networks
"netyksho
"never
"new
"news
"newsfeeds
"newsweek
"newyorkvalues
"next
"nichols
"night
"nikolay
"nine
"no
"nohillary2016
"nominee
"non
"nor
"normal
"not
"noted
"notes
"nothing
"notice
"notified
"nov
"november
"now
"number
"numbers
"numerous
"o
"obama
"obamas
"obligation
"obstruct
"obstructing
"obstruction
"obtain
"obtained
"occupation
"occurred
"oct
"october
"of
"off
"offense
"offenses
"offer
"offered
"offers
"office
"officer
"officers
"offices
"official
"officially
"officials
"often
"oganov
"oknyansky
"old
"oleg
"oligarch
"oligarchs
"on
"one
"ongoing
"online
"only
"onto
"open
"opened
"operate
"operated
"operating
"operation
"operational
"operations
"operatives
"operator
"operators
"opined
"opinion
"opinions
"opportunities
"opportunity
"oppose
"opposed
"opposing
"opposition
"or
"order
"ordered
"orders
"org
"organization
"organizational
"organizations
"organize
"organized
"organizing
"oriented
"origin
"original
"originated
"origins
"osc
"ostensibly
"other
"others
"otherwise
"our
"out
"outcome
"outlet
"outlets
"outreach
"outside
"over
"oversaw
"oversight
"overtly
"overtures
"overview
"own
"owned
"owner
"p
"pa
"page
"pages
"paid
"painted
"painting
"palestinian
"pamela
"papadopoulos
"paralegal
"paralegals
"parallel
"part
"parteneri
"participants
"participating
"particular
"parties
"partisan
"partnership
"party
"pass
"passage
"passed
"passing
"password
"passwords
"past
"patrick
"patriotic
"patten
"paul
"pay
"payment
"payments
"peace
"pen
"pending
"pennsylvania
"people
"perceived
"perform
"performed
"pericles
"period
"periodically
"periods
"perjure
"perjury
"permanent
"permit
"perpetrating
"person
"persona
"personal
"personally
"personas
"personnel
"persons
"pertinent
"peskov
"peter
"petersburg
"petr
"phares
"phase
"phases
"philly
"phone
"photo
"photographs
"photos
"phrases
"picked
"picture
"pictures
"pieces
"pinedo
"pittsburgh
"pjsc
"place
"plan
"plane
"planning
"plans
"platform
"platforms
"plaza
"plea
"pleaded
"pleasant
"please
"pm
"podesta
"point
"points
"policies
"policy
"political
"politically
"politics
"polling
"popular
"popularity
"porter
"portion
"pose
"posed
"posing
"position
"positions
"positive
"possibility
"possible
"possibly
"post
"posted
"poster
"posting
"postponed
"posts
"potential
"potentially
"power
"pp
"ppi
"practical
"practice
"predominantly
"preexisting
"prepare
"present
"presentation
"presented
"presidency
"president
"presidential
"press
"presumptive
"presumptively
"pretended
"prevent
"prevezon
"previously
"priebus
"prigozhin
"primarily
"primary
"prime
"prince
"principal
"principally
"principles
"prior
"prison
"privacy
"private
"privately
"privilege
"privileged
"pro
"probably
"probe
"problem
"procedures
"proceedings
"proceeds
"process
"processes
"product
"produet
"produtet
"professional
"professor
"proffer
"profile
"program
"project
"prominent
"promised
"promising
"promote
"promoted
"promoting
"promotion
"promp
"prompted
"properties
"property
"proposal
"proposed
"proposing
"prosecute
"prosecution
"prosecutions
"prosecutor
"prosecutorial
"prospect
"prospects
"protect
"protected
"proteeted
"protestors
"protests
"provide
"provided
"providence
"provides
"providing
"provoke
"provoked
"pub
"public
"publication
"publicity
"publicly
"published
"put
"putin
"putins
"qtvkujqcox
"quoted
"quotes
"quoting
"rather
"realdonaldtrump
"rebuffing
"recall
"recalled
"recalling
"receipt
"receive
"received
"receiving
"receptive
"reciprocal
"recognized
"reconciliation
"record
"records
"recounted
"recover
"recovered
"recreating
"recruit
"recruited
"recruiting
"recruitment
"recusal
"reiterating
"relate
"related
"relating
"relations
"relationship
"relay
"relayed
"release
"released
"releases
"releasing
"relevant
"reliable
"religious
"removed
"repeatedly
"replied
"report
"reported
"reporter
"reporters
"reporting
"reports
"representative
"representatives
"reprinted
"republican
"republicans
"republish
"reputation
"request
"requested
"requesting
"requests
"require
"required
"requires
"research
"residence
"resignation
"resolution
"results
"retaliate
"retaliatory
"retention
"retweet
"retweeted
"retweeting
"reuters
"richard
"richardson
"rinat
"risk
"rnc
"robert
"robot
"rod
"roger
"rogerjstonejr
"romanian
"rosenberg
"rosenstein
"rosie
"rosneft
"ross
"rt
"rtskhiladze
"rule
"russia
"russian
"russians
"sale
"sales
"sam
"samochornov
"sanctioned
"sanctions
"sanders
"santa
"sarcastically
"schmitz
"sean
"seanhannity
"search
"searched
"searches
"sechin
"second
"secret
"secretary
"secure
"secured
"security
"senate
"senator
"senegal
"sengupta
"sept
"septembar
"september
"septemher
"sergei
"sergey
"serhiy
"served
"server
"service
"services
"serving
"session
"sessions
"settled
"settlement
"settlements
"seven
"seychelles
"sharon
"shed
"sheets
"shied
"shlomo
"show
"showed
"si
"sic
"side
"signed
"significant
"signing
"signs
"simes
"simmons
"single
"six
"size
"sjc
"sjws
"skiber
"slamming
"slavery
"sobe
"social
"sovereign
"soviet
"sp
"space
"spain
"special
"specialist
"specialists
"specific
"speech
"spicer
"spokesman
"sponsored
"spring
"spy
"ss
"ssci
"staff
"staffer
"stage
"staging
"states
"statute
"statutes
"steal
"stole
"stolen
"stone
"stop
"story
"strategies
"strategy
"strumppence
"submitted
"subpoenaed
"subpoenas
"succeed
"success
"sufficient
"sufficiently
"suggest
"suggested
"summary
"summer
"support",
"supported",
"supporter",
"supporters",
"supporting",
"supra",
"szobocsan",
"team",
"technique",
"techniques",
"technology",
"ted",
"teleconference",
"telephone",
"tennessee",
"tentatively",
"tenure",
"term",
"termed",
"terms",
"territory",
"terrorism",
"testified",
"testimony",
"texan",
"theft",
"thefts",
"thousands",
"ticket",
"tickets",
"tillerson",
"tom",
"track",
"tracked",
"tragedy",
"transacted",
"transcript",
"transfer",
"transferred",
"transfers",
"transition",
"translator",
"transmission",
"travel",
"traveled",
"traveling",
"travelled",
"travels",
"traße",
"treasury",
"treated",
"treaties",
"trip",
"trips",
"troll",
"trump",
"trust",
"trusted",
"trustworthy",
"tsekhomsky",
"tsvetkova",
"tumblr",
"tweet",
"tweeted",
"tweeting",
"tweets",
"twitter",
"ukraine",
"ukrainian",
"unclassified",
"unclear",
"understanding",
"understood",
"unfriendly",
"unified",
"unique",
"unit",
"united",
"units",
"unofficial",
"unrecuse",
"usa",
"venezuela",
"veselnitskaya",
"veselnitzkaya",
"vested",
"victims",
"video",
"videos",
"viktor",
"viktorovich",
"violate",
"violated",
"violating",
"violation",
"violations",
"virginia",
"virginian",
"visa",
"visas",
"visited",
"vladimir",
"vladimirovna",
"voice",
"volume",
"volumes",
"volunteers",
"vote",
"votes",
"walid",
"walking",
"wards",
"warfare",
"wario",
"washington",
"wasn",
"waste",
"wealth",
"wealthy",
"web",
"weber",
"webpage",
"website",
"websites",
"western",
"westin",
"white",
"wikileaks",
"wilbur",
"will",
"willaguesses",
"william",
"williams",
"winning",
"wire",
"woman",
"women",
"wordpress",
"world",
"worldwide",
"wroughton",
"yahoo",
"yanukovych",
"yevgeniy",
"yevgeny",
"yield",
"york",
"youtube",
"zealand",